mode,metric,fun,threshold,stat,var1,var2,pearson,spearman
walk,bfca,gaussian,15,ac_mean,abs,rel,0.2342684423202373,0.34135338345864663
walk,bfca,gaussian,15,ac_mean,abs,population,0.565796015286623,0.4255639097744361
walk,bfca,gaussian,15,ac_mean,abs,jobs,0.6439481997093665,0.6526315789473683
walk,bfca,gaussian,15,ac_mean,abs,ratio,0.7757160548187247,0.8330827067669173
walk,bfca,gaussian,15,ac_mean,rel,population,-0.4972042672402005,-0.5909774436090226
walk,bfca,gaussian,15,ac_mean,rel,jobs,-0.43103985390289296,-0.3774436090225564
walk,bfca,gaussian,15,ac_mean,rel,ratio,0.15512098499186058,0.22406015037593985
walk,bfca,gaussian,15,wt_mean,abs,rel,0.4659282894089978,0.3879699248120301
walk,bfca,gaussian,15,wt_mean,abs,population,0.2579936960455837,0.18345864661654138
walk,bfca,gaussian,15,wt_mean,abs,jobs,0.35424700681968085,0.4345864661654136
walk,bfca,gaussian,15,wt_mean,abs,ratio,0.7656507625831473,0.7984962406015037
walk,bfca,gaussian,15,wt_mean,rel,population,-0.4939944224406599,-0.712781954887218
walk,bfca,gaussian,15,wt_mean,rel,jobs,-0.42695839521202633,-0.5593984962406015
walk,bfca,gaussian,15,wt_mean,rel,ratio,0.07371036414668393,0.09323308270676692
walk,bfca,gaussian,15,ac_median,abs,rel,0.45471587991993107,0.4150375939849624
walk,bfca,gaussian,15,ac_median,abs,population,0.22673548559395215,0.18195488721804512
walk,bfca,gaussian,15,ac_median,abs,jobs,0.30347454874616164,0.4180451127819549
walk,bfca,gaussian,15,ac_median,abs,ratio,0.6622007731868956,0.6721804511278195
walk,bfca,gaussian,15,ac_median,rel,population,-0.49478406288664567,-0.706766917293233
walk,bfca,gaussian,15,ac_median,rel,jobs,-0.43974335127943287,-0.5518796992481203
walk,bfca,gaussian,15,ac_median,rel,ratio,-0.03301377927400884,-0.022556390977443608
walk,bfca,gaussian,15,wt_median,abs,rel,0.37699707358892026,0.28872180451127816
walk,bfca,gaussian,15,wt_median,abs,population,0.1223281340362336,0.17142857142857143
walk,bfca,gaussian,15,wt_median,abs,jobs,0.20911999979427828,0.3969924812030075
walk,bfca,gaussian,15,wt_median,abs,ratio,0.7077034689875408,0.7203007518796992
walk,bfca,gaussian,15,wt_median,rel,population,-0.5688865194804441,-0.7398496240601504
walk,bfca,gaussian,15,wt_median,rel,jobs,-0.5193105474597162,-0.6676691729323309
walk,bfca,gaussian,15,wt_median,rel,ratio,-0.18164020460605693,-0.1293233082706767
walk,2sfca,gaussian,15,ac_mean,abs,rel,-0.020412530692011214,-0.2721804511278196
walk,2sfca,gaussian,15,ac_mean,abs,population,0.5001694684617929,0.5263157894736843
walk,2sfca,gaussian,15,ac_mean,abs,jobs,0.5624621448037879,0.6857142857142857
walk,2sfca,gaussian,15,ac_mean,abs,ratio,0.7215827598805111,0.7308270676691729
walk,2sfca,gaussian,15,ac_mean,rel,population,-0.6322785828796404,-0.8706766917293233
walk,2sfca,gaussian,15,ac_mean,rel,jobs,-0.6005251821550239,-0.8556390977443609
walk,2sfca,gaussian,15,ac_mean,rel,ratio,-0.2866221405611619,-0.42406015037593986
walk,bfca,gaussian,30,ac_mean,abs,rel,0.18410329634386663,0.31879699248120297
walk,bfca,gaussian,30,ac_mean,abs,population,0.5957551196291627,0.47518796992481205
walk,bfca,gaussian,30,ac_mean,abs,jobs,0.6741005766616992,0.6962406015037594
walk,bfca,gaussian,30,ac_mean,abs,ratio,0.7936227466844414,0.8360902255639098
walk,bfca,gaussian,30,ac_mean,rel,population,-0.5140049268687322,-0.5714285714285714
walk,bfca,gaussian,30,ac_mean,rel,jobs,-0.4425098426291351,-0.36541353383458647
walk,bfca,gaussian,30,ac_mean,rel,ratio,0.19110454676719146,0.23308270676691728
walk,bfca,gaussian,45,ac_mean,abs,rel,0.18139978371581078,0.32781954887218046
walk,bfca,gaussian,45,ac_mean,abs,population,0.6004206199702222,0.487218045112782
walk,bfca,gaussian,45,ac_mean,abs,jobs,0.677878378425071,0.706766917293233
walk,bfca,gaussian,45,ac_mean,abs,ratio,0.7973596112519371,0.8451127819548871
walk,bfca,gaussian,45,ac_mean,rel,population,-0.5148970118941145,-0.5639097744360902
walk,bfca,gaussian,45,ac_mean,rel,jobs,-0.44256233471342155,-0.3398496240601504
walk,bfca,gaussian,45,ac_mean,rel,ratio,0.20343517968031097,0.2646616541353384
walk,bfca,gaussian,60,ac_mean,abs,rel,0.18161017250946923,0.32781954887218046
walk,bfca,gaussian,60,ac_mean,abs,population,0.6017696540858755,0.487218045112782
