city,mode,metric,jobs,fun,threshold,stat,value,rank
rio,walk,2sfca,abs,binary,15,ac_mean,36.880118151842424,1
rec,walk,2sfca,abs,binary,15,ac_mean,31.341685829908215,2
gua,walk,2sfca,abs,binary,15,ac_mean,28.99932154972617,3
poa,walk,2sfca,abs,binary,15,ac_mean,27.49081970027697,4
spo,walk,2sfca,abs,binary,15,ac_mean,22.98640929083077,5
bsb,walk,2sfca,abs,binary,15,ac_mean,20.985441146593942,6
sal,walk,2sfca,abs,binary,15,ac_mean,20.167916741879115,7
bho,walk,2sfca,abs,binary,15,ac_mean,19.50862447476781,8
cur,walk,2sfca,abs,binary,15,ac_mean,19.1327875483389,9
man,walk,2sfca,abs,binary,15,ac_mean,14.792563453937825,10
goi,walk,2sfca,abs,binary,15,ac_mean,14.360445857985566,11
cam,walk,2sfca,abs,binary,15,ac_mean,12.35129398191492,12
mac,walk,2sfca,abs,binary,15,ac_mean,11.12474767068807,13
for,walk,2sfca,abs,binary,15,ac_mean,11.054489167538966,14
cgr,walk,2sfca,abs,binary,15,ac_mean,10.000868050680904,15
nat,walk,2sfca,abs,binary,15,ac_mean,9.645575371643089,16
slz,walk,2sfca,abs,binary,15,ac_mean,9.257113734746005,17
bel,walk,2sfca,abs,binary,15,ac_mean,6.744032345204474,18
duq,walk,2sfca,abs,binary,15,ac_mean,5.303676642593445,19
sgo,walk,2sfca,abs,binary,15,ac_mean,2.0068370743580153,20
cur,walk,2sfca,abs,binary,15,ac_median,2.3373781317226046,1
spo,walk,2sfca,abs,binary,15,ac_median,1.9225239616613419,2
goi,walk,2sfca,abs,binary,15,ac_median,1.7711944531988655,3
gua,walk,2sfca,abs,binary,15,ac_median,1.756544223860143,4
poa,walk,2sfca,abs,binary,15,ac_median,1.7511792452830188,5
cam,walk,2sfca,abs,binary,15,ac_median,1.659369227611685,6
rec,walk,2sfca,abs,binary,15,ac_median,1.646674400788646,7
cgr,walk,2sfca,abs,binary,15,ac_median,1.598814392800986,8
bho,walk,2sfca,abs,binary,15,ac_median,1.4747311457145131,9
for,walk,2sfca,abs,binary,15,ac_median,1.415915915915916,10
rio,walk,2sfca,abs,binary,15,ac_median,1.3925502425502425,11
nat,walk,2sfca,abs,binary,15,ac_median,1.140313272117122,12
mac,walk,2sfca,abs,binary,15,ac_median,1.0667116360104227,13
man,walk,2sfca,abs,binary,15,ac_median,1.0230263157894737,14
slz,walk,2sfca,abs,binary,15,ac_median,1.0183206106870228,15
bsb,walk,2sfca,abs,binary,15,ac_median,0.9562937062937062,16
duq,walk,2sfca,abs,binary,15,ac_median,0.9547738693467336,17
sal,walk,2sfca,abs,binary,15,ac_median,0.8149743828598044,18
bel,walk,2sfca,abs,binary,15,ac_median,0.6804307326630905,19
sgo,walk,2sfca,abs,binary,15,ac_median,0.5,20
cur,walk,2sfca,abs,binary,15,wt_mean,4.272303382708225,1
poa,walk,2sfca,abs,binary,15,wt_mean,4.199078827173437,2
spo,walk,2sfca,abs,binary,15,wt_mean,3.489632370853745,3
goi,walk,2sfca,abs,binary,15,wt_mean,3.236930538126864,4
cam,walk,2sfca,abs,binary,15,wt_mean,3.1593455054474826,5
cgr,walk,2sfca,abs,binary,15,wt_mean,2.937815060929539,6
bho,walk,2sfca,abs,binary,15,wt_mean,2.742525388988228,7
rec,walk,2sfca,abs,binary,15,wt_mean,2.6454138560759763,8
rio,walk,2sfca,abs,binary,15,wt_mean,2.5603730941197393,9
gua,walk,2sfca,abs,binary,15,wt_mean,2.2279397182065077,10
nat,walk,2sfca,abs,binary,15,wt_mean,2.1828146934510486,11
for,walk,2sfca,abs,binary,15,wt_mean,2.1697230285956013,12
mac,walk,2sfca,abs,binary,15,wt_mean,1.7054901363763733,13
slz,walk,2sfca,abs,binary,15,wt_mean,1.6323345399059754,14
bel,walk,2sfca,abs,binary,15,wt_mean,1.5918024497806926,15
man,walk,2sfca,abs,binary,15,wt_mean,1.5813278992109796,16
bsb,walk,2sfca,abs,binary,15,wt_mean,1.5614210643640631,17
duq,walk,2sfca,abs,binary,15,wt_mean,1.440844939740441,18
sal,walk,2sfca,abs,binary,15,wt_mean,1.3205599218713668,19
sgo,walk,2sfca,abs,binary,15,wt_mean,0.9639161440228686,20
poa,walk,2sfca,abs,binary,15,wt_median,1.52340252340252,1
cur,walk,2sfca,abs,binary,15,wt_median,1.43410852713178,2
goi,walk,2sfca,abs,binary,15,wt_median,1.35875,3
spo,walk,2sfca,abs,binary,15,wt_median,1.06642066420664,4
cam,walk,2sfca,abs,binary,15,wt_median,1.03312444046553,5
cgr,walk,2sfca,abs,binary,15,wt_median,1.03133159268929,6
bho,walk,2sfca,abs,binary,15,wt_median,1.01544401544402,7
rio,walk,2sfca,abs,binary,15,wt_median,0.937395659432387,8
for,walk,2sfca,abs,binary,15,wt_median,0.898617511520737,9
rec,walk,2sfca,abs,binary,15,wt_median,0.884852638793694,10
gua,walk,2sfca,abs,binary,15,wt_median,0.851573187414501,11
nat,walk,2sfca,abs,binary,15,wt_median,0.689756097560976,12
duq,walk,2sfca,abs,binary,15,wt_median,0.677664974619289,13
mac,walk,2sfca,abs,binary,15,wt_median,0.612820512820513,14
bsb,walk,2sfca,abs,binary,15,wt_median,0.594420600858369,15
man,walk,2sfca,abs,binary,15,wt_median,0.570623916811092,16
slz,walk,2sfca,abs,binary,15,wt_median,0.549668874172185,17
bel,walk,2sfca,abs,binary,15,wt_median,0.524009324009324,18
sgo,walk,2sfca,abs,binary,15,wt_median,0.49618320610687,19
sal,walk,2sfca,abs,binary,15,wt_median,0.417820069204152,20
poa,walk,2sfca,abs,binary,30,ac_mean,116.86956637284902,1
rec,walk,2sfca,abs,binary,30,ac_mean,110.64086356864338,2
gua,walk,2sfca,abs,binary,30,ac_mean,110.09018151130424,3
spo,walk,2sfca,abs,binary,30,ac_mean,107.79917785920335,4
rio,walk,2sfca,abs,binary,30,ac_mean,107.74606641654954,5
bho,walk,2sfca,abs,binary,30,ac_mean,85.28732449391485,6
cur,walk,2sfca,abs,binary,30,ac_mean,78.7594642468068,7
bsb,walk,2sfca,abs,binary,30,ac_mean,75.06289432746465,8
sal,walk,2sfca,abs,binary,30,ac_mean,63.901884871788894,9
for,walk,2sfca,abs,binary,30,ac_mean,56.4628568856964,10
goi,walk,2sfca,abs,binary,30,ac_mean,56.04835872228902,11
man,walk,2sfca,abs,binary,30,ac_mean,54.476737289544964,12
cam,walk,2sfca,abs,binary,30,ac_mean,50.838905925292146,13
nat,walk,2sfca,abs,binary,30,ac_mean,48.08014582435725,14
slz,walk,2sfca,abs,binary,30,ac_mean,46.66725181927692,15
cgr,walk,2sfca,abs,binary,30,ac_mean,45.298019114005946,16
mac,walk,2sfca,abs,binary,30,ac_mean,40.05931394370959,17
bel,walk,2sfca,abs,binary,30,ac_mean,26.105652289258845,18
duq,walk,2sfca,abs,binary,30,ac_mean,20.16768022331861,19
sgo,walk,2sfca,abs,binary,30,ac_mean,8.963110289729741,20
cur,walk,2sfca,abs,binary,30,ac_median,12.854586129753915,1
goi,walk,2sfca,abs,binary,30,ac_median,9.40031545741325,2
spo,walk,2sfca,abs,binary,30,ac_median,9.094666666666667,3
cam,walk,2sfca,abs,binary,30,ac_median,8.714285714285715,4
poa,walk,2sfca,abs,binary,30,ac_median,8.449536612689684,5
gua,walk,2sfca,abs,binary,30,ac_median,8.259786476868328,6
cgr,walk,2sfca,abs,binary,30,ac_median,8.212424789410349,7
rio,walk,2sfca,abs,binary,30,ac_median,7.492560873949197,8
rec,walk,2sfca,abs,binary,30,ac_median,7.487100024716238,9
bho,walk,2sfca,abs,binary,30,ac_median,7.262662330802372,10
for,walk,2sfca,abs,binary,30,ac_median,7.209620253164557,11
nat,walk,2sfca,abs,binary,30,ac_median,7.095948631145128,12
mac,walk,2sfca,abs,binary,30,ac_median,5.857142857142858,13
man,walk,2sfca,abs,binary,30,ac_median,5.7872638208537435,14
slz,walk,2sfca,abs,binary,30,ac_median,5.333333333333333,15
duq,walk,2sfca,abs,binary,30,ac_median,4.8035868094007625,16
bsb,walk,2sfca,abs,binary,30,ac_median,4.321158690176323,17
sal,walk,2sfca,abs,binary,30,ac_median,3.891253458182592,18
bel,walk,2sfca,abs,binary,30,ac_median,3.328322309079976,19
sgo,walk,2sfca,abs,binary,30,ac_median,2.812190594059406,20
cur,walk,2sfca,abs,binary,30,wt_mean,18.64467835088493,1
poa,walk,2sfca,abs,binary,30,wt_mean,17.499072709390294,2
spo,walk,2sfca,abs,binary,30,wt_mean,15.19802139118372,3
goi,walk,2sfca,abs,binary,30,wt_mean,13.661142381215686,4
cam,walk,2sfca,abs,binary,30,wt_mean,13.148207291494828,5
cgr,walk,2sfca,abs,binary,30,wt_mean,12.425099661594663,6
bho,walk,2sfca,abs,binary,30,wt_mean,12.247195115986807,7
rec,walk,2sfca,abs,binary,30,wt_mean,11.260139745564766,8
rio,walk,2sfca,abs,binary,30,wt_mean,10.238345449115432,9
nat,walk,2sfca,abs,binary,30,wt_mean,9.336834683365803,10
for,walk,2sfca,abs,binary,30,wt_mean,9.319890884915683,11
gua,walk,2sfca,abs,binary,30,wt_mean,9.283529187438498,12
bel,walk,2sfca,abs,binary,30,wt_mean,6.9769682771447945,13
mac,walk,2sfca,abs,binary,30,wt_mean,6.954491600151288,14
man,walk,2sfca,abs,binary,30,wt_mean,6.952508544628546,15
slz,walk,2sfca,abs,binary,30,wt_mean,6.604932973553729,16
bsb,walk,2sfca,abs,binary,30,wt_mean,6.279361175705633,17
duq,walk,2sfca,abs,binary,30,wt_mean,5.709964154106677,18
sal,walk,2sfca,abs,binary,30,wt_mean,5.660965365181726,19
sgo,walk,2sfca,abs,binary,30,wt_mean,4.102620300385051,20
poa,walk,2sfca,abs,binary,30,wt_median,7.43211920529801,1
cur,walk,2sfca,abs,binary,30,wt_median,7.29161290322581,2
goi,walk,2sfca,abs,binary,30,wt_median,6.28280961182994,3
bho,walk,2sfca,abs,binary,30,wt_median,5.33682514101531,4
spo,walk,2sfca,abs,binary,30,wt_median,5.04904728299224,5
rio,walk,2sfca,abs,binary,30,wt_median,4.96687370600414,6
cam,walk,2sfca,abs,binary,30,wt_median,4.91728212703102,7
rec,walk,2sfca,abs,binary,30,wt_median,4.55674846625767,8
cgr,walk,2sfca,abs,binary,30,wt_median,4.5,9
for,walk,2sfca,abs,binary,30,wt_median,4.24603174603175,10
gua,walk,2sfca,abs,binary,30,wt_median,3.8719723183391,11
slz,walk,2sfca,abs,binary,30,wt_median,3.55296610169492,12
duq,walk,2sfca,abs,binary,30,wt_median,3.33210468116476,13
nat,walk,2sfca,abs,binary,30,wt_median,3.2962962962963,14
mac,walk,2sfca,abs,binary,30,wt_median,3.16835217132659,15
man,walk,2sfca,abs,binary,30,wt_median,3.12626262626263,16
bel,walk,2sfca,abs,binary,30,wt_median,2.87772050400916,17
sgo,walk,2sfca,abs,binary,30,wt_median,2.63569682151589,18
bsb,walk,2sfca,abs,binary,30,wt_median,2.58744394618834,19
sal,walk,2sfca,abs,binary,30,wt_median,2.24479908805928,20
spo,walk,2sfca,abs,binary,45,ac_mean,267.53937242270985,1
rec,walk,2sfca,abs,binary,45,ac_mean,258.7564267175781,2
gua,walk,2sfca,abs,binary,45,ac_mean,244.16521642279858,3
poa,walk,2sfca,abs,binary,45,ac_mean,237.8144462226597,4
rio,walk,2sfca,abs,binary,45,ac_mean,194.92331729363002,5
cur,walk,2sfca,abs,binary,45,ac_mean,189.77235453940196,6
bho,walk,2sfca,abs,binary,45,ac_mean,182.26486836785475,7
bsb,walk,2sfca,abs,binary,45,ac_mean,163.45432912582453,8
for,walk,2sfca,abs,binary,45,ac_mean,149.19324399000982,9
sal,walk,2sfca,abs,binary,45,ac_mean,133.8670540757971,10
goi,walk,2sfca,abs,binary,45,ac_mean,133.76508087828526,11
man,walk,2sfca,abs,binary,45,ac_mean,126.18812616832007,12
cam,walk,2sfca,abs,binary,45,ac_mean,120.37675142873856,13
nat,walk,2sfca,abs,binary,45,ac_mean,111.41256269303786,14
cgr,walk,2sfca,abs,binary,45,ac_mean,111.2447792465839,15
slz,walk,2sfca,abs,binary,45,ac_mean,107.41142670765952,16
mac,walk,2sfca,abs,binary,45,ac_mean,97.89783815775972,17
bel,walk,2sfca,abs,binary,45,ac_mean,66.74372966999718,18
duq,walk,2sfca,abs,binary,45,ac_mean,52.52774549810427,19
sgo,walk,2sfca,abs,binary,45,ac_mean,22.973031193636896,20
cur,walk,2sfca,abs,binary,45,ac_median,34.25714285714286,1
goi,walk,2sfca,abs,binary,45,ac_median,24.41565452091768,2
spo,walk,2sfca,abs,binary,45,ac_median,22.2209662923392,3
cam,walk,2sfca,abs,binary,45,ac_median,21.802240490006447,4
cgr,walk,2sfca,abs,binary,45,ac_median,21.41654411764706,5
poa,walk,2sfca,abs,binary,45,ac_median,21.220379062401918,6
gua,walk,2sfca,abs,binary,45,ac_median,19.924705293037235,7
bho,walk,2sfca,abs,binary,45,ac_median,19.08300878098427,8
rio,walk,2sfca,abs,binary,45,ac_median,18.758541216393642,9
rec,walk,2sfca,abs,binary,45,ac_median,18.506938775510203,10
for,walk,2sfca,abs,binary,45,ac_median,18.2487922705314,11
nat,walk,2sfca,abs,binary,45,ac_median,17.576171875,12
man,walk,2sfca,abs,binary,45,ac_median,15.244318181818182,13
mac,walk,2sfca,abs,binary,45,ac_median,14.543530985709491,14
slz,walk,2sfca,abs,binary,45,ac_median,13.410681399631676,15
duq,walk,2sfca,abs,binary,45,ac_median,11.458563535911603,16
bsb,walk,2sfca,abs,binary,45,ac_median,10,17
sal,walk,2sfca,abs,binary,45,ac_median,9.676616915422885,18
sgo,walk,2sfca,abs,binary,45,ac_median,7.6637037726483,19
bel,walk,2sfca,abs,binary,45,ac_median,7.623987034035657,20
cur,walk,2sfca,abs,binary,45,wt_mean,44.46758850535389,1
poa,walk,2sfca,abs,binary,45,wt_mean,39.08090676162015,2
spo,walk,2sfca,abs,binary,45,wt_mean,35.58268408301006,3
goi,walk,2sfca,abs,binary,45,wt_mean,31.6418758004431,4
cam,walk,2sfca,abs,binary,45,wt_mean,29.850123999416475,5
bho,walk,2sfca,abs,binary,45,wt_mean,28.908557753311232,6
cgr,walk,2sfca,abs,binary,45,wt_mean,28.677229799550673,7
rec,walk,2sfca,abs,binary,45,wt_mean,24.991203793110337,8
