city,mode,metric,jobs,fun,threshold,ac_mean,ac_median,wt_mean,wt_median
bel,walk,2sfca,abs,binary,15,6.744032345204474,0.6804307326630905,1.5918024497806926,0.524009324009324
bel,walk,2sfca,abs,binary,30,26.105652289258845,3.328322309079976,6.9769682771447945,2.87772050400916
bel,walk,2sfca,abs,binary,45,66.74372966999718,7.623987034035657,15.49849596670807,7.35800604229607
bel,walk,2sfca,abs,binary,60,118.95069264931199,14.75050471063257,25.951564127338663,14.5993243243243
bel,walk,2sfca,abs,gaussian,15,68821.96987569853,7322.343271488423,12247.313775056982,7851.10982322111
bel,walk,2sfca,abs,gaussian,30,434.3708246314661,51.60348387047555,86.90578133287438,52.9142128407049
bel,walk,2sfca,abs,gaussian,45,208.71768688011443,25.35808671558535,43.41451670936324,25.3369593545345
bel,walk,2sfca,abs,gaussian,60,165.2217237622301,20.25446200912398,34.909157226858994,19.9417970745607
bel,walk,2sfca,rel,binary,15,2.8365828027543294e-5,2.861934842453862e-6,6.695222121288959e-6,2.20401647098373e-6
bel,walk,2sfca,rel,binary,30,1.0980203022165469e-4,1.399913485093701e-5,2.934557133965138e-5,1.21038750631295e-5
bel,walk,2sfca,rel,binary,45,2.8072836262154336e-4,3.206697329164699e-5,6.518765758735182e-5,3.09482403609478e-5
bel,walk,2sfca,rel,binary,60,5.003141620230829e-4,6.204155889596122e-5,1.0915392563401638e-4,6.14056845970773e-5
bel,walk,2sfca,rel,gaussian,15,0.2894695728141026,0.030798240483732725,0.0515129789657163,0.0330222661564198
bel,walk,2sfca,rel,gaussian,30,0.0018269912540439875,2.170475279723222e-4,3.6553123142128935e-4,2.2256053720139e-4
bel,walk,2sfca,rel,gaussian,45,8.778798364687339e-4,1.0665772197746118e-4,1.8260421241193868e-4,1.06568858956116e-4
bel,walk,2sfca,rel,gaussian,60,6.949330552938781e-4,8.51915525805208e-5,1.4683013066918045e-4,8.38764640236916e-5
bel,walk,bfca,abs,binary,15,43.069746800757635,3.4971788323335513,14.40878246976669,3.77862595419847
bel,walk,bfca,abs,binary,30,642.4461905748059,60.78498293515358,271.2499563148059,84.2282471626734
bel,walk,bfca,abs,binary,45,3460.4651966075053,297.73027259684363,1291.023177112389,465.9723183391
bel,walk,bfca,abs,binary,60,10324.396645837844,893.4214267121245,3503.3178927073823,1527.03559510567
bel,walk,bfca,abs,gaussian,15,589112.4156600847,55886.63397868198,204030.9949883724,112764.089580938
bel,walk,bfca,abs,gaussian,30,15336.350958455687,1391.2458594386096,5167.125838378753,2568.27624868659
bel,walk,bfca,abs,gaussian,45,11899.384428766878,1028.8893182859817,3983.429629829451,1888.0695644146
bel,walk,bfca,abs,gaussian,60,11408.203624367647,976.9655955442488,3815.2502158759694,1755.28131215914
bel,walk,bfca,rel,binary,15,1.8115408829687084e-4,1.4709356103559806e-5,6.060425346481498e-5,1.58931405590635e-5
bel,walk,bfca,rel,binary,30,0.002702169447890263,2.556654957062552e-4,0.0011408945300767433,3.54269352782199e-4
bel,walk,bfca,rel,binary,45,0.014554936221808881,0.0012522724208286098,0.005430125412666935,0.00195990914204339
bel,walk,bfca,rel,binary,60,0.04342506748981226,0.003757787218244744,0.014735177381083575,0.00642280862035092
bel,walk,bfca,rel,gaussian,15,2.477844205979696,0.23506272914079368,0.8581673129495122,0.474292916908956
bel,walk,bfca,rel,gaussian,30,0.06450566539274406,0.00585166837477123,0.021733259187635655,0.0108023328875744
bel,walk,bfca,rel,gaussian,45,0.05004956605524613,0.004327573767143838,0.016754557815830996,0.00794134040687189
bel,walk,bfca,rel,gaussian,60,0.04798362842107594,0.0041091792941563,0.016047184527894484,0.00738282459099876
bel,walk,cumulative,abs,binary,15,1707.9759229534511,490,2417.656268512479,1057
bel,walk,cumulative,abs,binary,30,6521.036678200692,2048,11100.990351495515,5494
bel,walk,cumulative,abs,binary,45,13808.466096115866,4956,25625.418040714932,14945
bel,walk,cumulative,abs,binary,60,22595.556555269923,9302,43816.220685852546,25639
bel,walk,cumulative,rel,binary,15,0.007183855121948295,0.0020609710959318952,0.010168815692454656,0.00444580907836737
bel,walk,cumulative,rel,binary,30,0.0274278941005783,0.008614017968303106,0.04669146989928798,0.0231081126552037
bel,walk,cumulative,rel,binary,45,0.058079284700510894,0.02084525051313975,0.1077821344960923,0.0628596184259228
bel,walk,cumulative,rel,binary,60,0.09503834481001178,0.03912480231501733,0.18429380482962307,0.107839261078771
bel,walk,gravity,abs,gaussian,15,2943.1066356090305,848.7453520809668,5373.7354260544535,2796.47817659843
bel,walk,gravity,abs,gaussian,30,10167.776401818484,3976.1883476703633,19372.637602863288,11269.7498894025
bel,walk,gravity,abs,gaussian,45,15505.245587403948,6356.320763193792,29884.035749597882,17330.1705292707
bel,walk,gravity,abs,gaussian,60,18394.351989893123,7594.211521255164,35593.04225342777,20520.9944495883
bel,walk,gravity,rel,gaussian,15,0.012378893282113421,0.003569876813153903,0.022602272225068363,0.0117621646783137
bel,walk,gravity,rel,gaussian,30,0.042766312804176136,0.01672410052353025,0.08148254316625428,0.047401283225388
