city,population,jobs,rank_pop,rank_jobs,rank_ratio
cur,1742355,613120,8,5,1
poa,1389420,469674,10,8,2
spo,11039920,3675843,1,1,3
cam,1066353,355027,14,12,4
bho,2352062,773908,6,3,5
goi,1301930,399627,12,10,6
rec,1501982,456851,9,9,7
rio,6119114,1725807,2,2,8
bsb,2537123,662800,4,4,9
nat,790017,205756,19,16,10
gua,1202423,297883,13,13,11
cgr,783478,193924,20,17,12
for,2405318,563314,5,6,13
slz,1007707,219664,15,15,14
sal,2598176,536076,3,7,15
man,1780354,356855,7,11,16
mac,921524,177786,17,18,17
bel,1360366,237752,11,14,18
duq,828710,125091,18,19,19
sgo,935814,96263,16,20,20
